filename,workflow_name,on_events,job_name,services,step_names
alert-workflow-changes.yml,Alert on Workflow Changes,"pull_request (paths); push (branches: main, paths)",Alert on Sensitive File Changes,,Checkout repository; Check for bypass token usage in workflows; Comment on PR if bypass token used; Summary
codespaces-prebuild.yml,Codespaces Prebuild,"push (branches: main, paths); workflow_dispatch","Prebuild ${{ matrix.container }} Container (matrix: dev, qa, ops)",,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Prebuild container
codespaces-prebuild.yml,Codespaces Prebuild,"push (branches: main, paths); workflow_dispatch",Prebuild Summary,,Generate summary
requirement-verification.yml,Requirement Verification,push (paths: spec/**/*.md); pull_request (paths: spec/**/*.md),verify-requirements,,Checkout code; Set up Python; Detect changed requirements; Scan implementations; Generate report; Upload verification report; Comment on PR; Summary
rollback.yml,Rollback Deployment,workflow_dispatch (inputs: environment/target_version/reason),"Rollback ${{ inputs.environment }}",,Log rollback initiation; Capture current production version; Verify target version exists; Checkout target version; Setup environment; Load secrets; Database rollback; Deploy previous version; Verify rollback with smoke tests; Record rollback; Notify team; Rollback failed
trial_data_types-ci.yml,Trial Data Types CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch",Analyze,,Checkout code; Setup Dart; Install dependencies; Verify formatting; Analyze project source
trial_data_types-ci.yml,Trial Data Types CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch","Test (matrix: sdk stable, beta)",,Checkout code; Setup Dart; Install dependencies; Run tests
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push dart-base image
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign base image; Generate SBOM for base image; Upload SBOMs as artifacts; Attach SBOM attestation to base image
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify base image signature
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Summary,,Generate summary
clinical_diary-ci.yml,Clinical Diary CI,"pull_request (branches: main/develop, paths); workflow_dispatch",Analyze Flutter,,Checkout code; Setup Flutter; Install dependencies; Verify formatting; Analyze project source
clinical_diary-ci.yml,Clinical Diary CI,"pull_request (branches: main/develop, paths); workflow_dispatch",Test Clinical Diary,,Checkout code; Install Linux desktop dependencies; Setup Flutter; Setup Node.js; Setup Java (required for Firebase emulator); Install Firebase CLI; Install Flutter dependencies; Install lcov; Run coverage tests (includes integration tests with emulator); Upload coverage to Codecov
